provider,api_title,doc_url,endpoint,method,category,generation_modes,service_tier,detail_parse_status,source_field,source_type,required,enum_values,default_value,format,description
runninghub,全能视频S-图生视频-pro-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766680.md,/openapi/v2/rhart-video-s-official/image-to-video-pro,post,Video,"[""i2v""]",official_stable,parsed_html,resolution,string,True,"[""720p"", ""1080p""]",720p,,
runninghub,全能视频S-图生视频-pro-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766680.md,/openapi/v2/rhart-video-s-official/image-to-video-pro,post,Video,"[""i2v""]",official_stable,parsed_html,duration,string,True,"[""4"", ""8"", ""12""]",4,,
runninghub,全能视频S-图生视频-pro-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766680.md,/openapi/v2/rhart-video-s-official/image-to-video-pro,post,Video,"[""i2v""]",official_stable,parsed_html,imageUrl,string,True,[],https://www.runninghub.cn/view?filename=ce2d58341555d5e4ee0c5ba481c94964b0f0315dc6f39df77d9a45e1aa9cb055.png&type=input&subfolder=&Rh-Comfy-Auth=eyJ1c2VySWQiOiIzZjY1MTNlNWEwNjY1N2I4OGYyNjU5NTEzYmU3ZDM0YyIsInNpZ25FeHBpcmUiOjE3NjkxNzQyMzA5NzQsInRzIjoxNzY4NTY5NDMwOTc0LCJzaWduIjoiYzBjMjQxYjI0MjAzY2YzNzM0ZTE3ZTQ3M2ZhYjNiYWEifQ==&Rh-Identify=3f6513e5a06657b88f2659513be7d34c&rand=0.22377442581455298,uri,"图像尺寸须与模型生成视频长宽比一致（允许的值：720x1280，1280x720，1024x1792，1792x1024） 支持的文件格式：JPG, PNG."
runninghub,全能视频X-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766682.md,/openapi/v2/rhart-video-g-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,prompt,string,True,[],电影级环绕运镜。镜头缓慢而平滑地绕着这辆红色复古跑车移动。下方的海浪动态地拍打着礁石，激起自然真实的水花。随着太阳逐渐沉入地平线，天空光影自然过渡，跑车的车头灯平滑地自动亮起。画面需配有海浪猛烈拍打岸边以及微凉海风呼啸的同步音效。,,
runninghub,全能视频X-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766682.md,/openapi/v2/rhart-video-g-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,imageUrl,string,False,[],https://www.runninghub.cn/view?filename=6b05df1302072b51fabe7aee9ab3fe39508a7ca51629768ab521a05eaf93bbf9.jpg&type=input&subfolder=&Rh-Comfy-Auth=eyJ1c2VySWQiOiIzZjY1MTNlNWEwNjY1N2I4OGYyNjU5NTEzYmU3ZDM0YyIsInNpZ25FeHBpcmUiOjE3NzMwMjg5MTYzNzEsInRzIjoxNzcyNDI0MTE2MzcxLCJzaWduIjoiZGZkZDhjMTdhNDA4ZmYzYTI5NWNjYzA1YjhlNDhhZTYifQ==&Rh-Identify=3f6513e5a06657b88f2659513be7d34c&rand=0.9413883407292518,uri,"支持的文件格式：JPG, PNG."
runninghub,全能视频X-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766682.md,/openapi/v2/rhart-video-g-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,resolution,string,True,"[""720p"", ""480p""]",720p,,resolution（仅15s支持1080p）
runninghub,全能视频X-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766682.md,/openapi/v2/rhart-video-g-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,duration,string,True,"[""6"", ""10""]",6,,
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,/openapi/v2/rhart-video-v3.1-fast-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,prompt,string,True,[],侦探抬起头，雨水从他的帽檐滴落。他带着严肃的表情直视镜头说道：“嫌疑人往这边走了。” 背景中的煤气灯在风中闪烁。音频：大雨声，远处的马车轮声，以及他低沉沙哑的嗓音。,,
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,/openapi/v2/rhart-video-v3.1-fast-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,imageUrl,string,True,[],https://www.runninghub.cn/view?filename=4f4be1133649ee1288ccde6ccf98487b8f22c9c26a0459c29f8b5ddf796cdafd.jpg&type=input&subfolder=&Rh-Comfy-Auth=eyJ1c2VySWQiOiIzZjY1MTNlNWEwNjY1N2I4OGYyNjU5NTEzYmU3ZDM0YyIsInNpZ25FeHBpcmUiOjE3NzE1Nzk0MTg3ODgsInRzIjoxNzcwOTc0NjE4Nzg4LCJzaWduIjoiZmMxYjUyOWRkMTYxMTI0ZDhkYTNmNGIyYWYxNDFkMmQifQ==&Rh-Identify=3f6513e5a06657b88f2659513be7d34c&rand=0.13159629633496428,uri,"支持的文件格式：JPG, PNG."
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,/openapi/v2/rhart-video-v3.1-fast-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,lastImageUrl,string,False,[],,uri,"支持的文件格式：JPG, PNG."
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,/openapi/v2/rhart-video-v3.1-fast-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,negativePrompt,string,False,[],,,
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,/openapi/v2/rhart-video-v3.1-fast-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,seed,integer,False,[],,,
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,/openapi/v2/rhart-video-v3.1-fast-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,aspectRatio,string,False,"[""16:9"", ""9:16""]",9:16,,
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,/openapi/v2/rhart-video-v3.1-fast-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,resolution,string,True,"[""720p"", ""1080p"", ""4k""]",720p,,
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,/openapi/v2/rhart-video-v3.1-fast-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,duration,string,True,"[""4"", ""6"", ""8""]",8,,
runninghub,全能视频V3.1-fast-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766688.md,/openapi/v2/rhart-video-v3.1-fast-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,generateAudio,boolean,True,[],false,,
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,/openapi/v2/rhart-video-v3.1-pro-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,prompt,string,True,[],镜头缓慢向前推进穿过街道。霓虹灯牌不规则地闪烁，在潮湿的路面上投射出不断变化的彩色倒影。光柱中可见大雨倾盆而下。音频：大雨击打地面的声音，远处的雷声，以及霓虹灯发出的电流嗡嗡声。,,
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,/openapi/v2/rhart-video-v3.1-pro-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,imageUrl,string,True,[],https://www.runninghub.cn/view?filename=885b405b856844d2ea8440268a633ad8fa6ef88697c57577de638e9e957c412b.jpg&type=input&subfolder=&Rh-Comfy-Auth=eyJ1c2VySWQiOiIzZjY1MTNlNWEwNjY1N2I4OGYyNjU5NTEzYmU3ZDM0YyIsInNpZ25FeHBpcmUiOjE3NzE1ODAwNDYxNTMsInRzIjoxNzcwOTc1MjQ2MTUzLCJzaWduIjoiODQwOTYwNTgwNzNiMDc2MzViMzQyMzZkMTQ4ZWE5OWQifQ==&Rh-Identify=3f6513e5a06657b88f2659513be7d34c&rand=0.4798650769176951,uri,"支持的文件格式：JPG, PNG."
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,/openapi/v2/rhart-video-v3.1-pro-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,lastImageUrl,string,False,[],,uri,"支持的文件格式：JPG, PNG."
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,/openapi/v2/rhart-video-v3.1-pro-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,negativePrompt,string,False,[],,,
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,/openapi/v2/rhart-video-v3.1-pro-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,seed,integer,False,[],,,
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,/openapi/v2/rhart-video-v3.1-pro-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,aspectRatio,string,False,"[""16:9"", ""9:16""]",9:16,,
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,/openapi/v2/rhart-video-v3.1-pro-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,resolution,string,True,"[""720p"", ""1080p"", ""4k""]",720p,,
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,/openapi/v2/rhart-video-v3.1-pro-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,duration,string,True,"[""4"", ""6"", ""8""]",8,,
runninghub,全能视频V3.1-pro-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766684.md,/openapi/v2/rhart-video-v3.1-pro-official/image-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,generateAudio,boolean,True,[],false,,
runninghub,全能视频V3.1-pro-参考生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766685.md,/openapi/v2/rhart-video-v3.1-pro-official/reference-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,prompt,string,True,[],以第一张图作为背景，第二张图和第三张图的人物在这个场景中相遇，发生一段有趣的故事,,
runninghub,全能视频V3.1-pro-参考生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766685.md,/openapi/v2/rhart-video-v3.1-pro-official/reference-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,imageUrls,,True,[],https://www.runninghub.cn/view?filename=840c2aa231092ba5566a675b348542a808c4acfba1c20ba0dbe8edb4dc4bc198.jpg&type=input&subfolder=&Rh-Comfy-Auth=eyJ1c2VySWQiOiIzZjY1MTNlNWEwNjY1N2I4OGYyNjU5NTEzYmU3ZDM0YyIsInNpZ25FeHBpcmUiOjE3NzE1NzY3MTY4NTgsInRzIjoxNzcwOTcxOTE2ODU4LCJzaWduIjoiNWE0MGU4ZjA4YjE3NDU0ODBlOGRhNTFhZGM1MTM0YTUifQ==&Rh-Identify=3f6513e5a06657b88f2659513be7d34c&rand=0.5563813130414209,,"支持的文件格式：JPG, PNG."
runninghub,全能视频V3.1-pro-参考生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766685.md,/openapi/v2/rhart-video-v3.1-pro-official/reference-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,negativePrompt,string,False,[],,,
runninghub,全能视频V3.1-pro-参考生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766685.md,/openapi/v2/rhart-video-v3.1-pro-official/reference-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,seed,integer,False,[],,,
runninghub,全能视频V3.1-pro-参考生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766685.md,/openapi/v2/rhart-video-v3.1-pro-official/reference-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,resolution,string,True,"[""720p"", ""1080p"", ""4k""]",1080p,,
runninghub,全能视频V3.1-pro-参考生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766685.md,/openapi/v2/rhart-video-v3.1-pro-official/reference-to-video,post,Video,"[""i2v""]",official_stable,parsed_html,generateAudio,boolean,True,[],false,,
runninghub,全能视频S-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766712.md,/openapi/v2/rhart-video-s-official/text-to-video,post,Video,"[""t2v""]",official_stable,parsed_html,prompt,string,True,[],一段穿梭于繁华未来街道市场的电影级高保真追踪镜头。一名街头艺人正在敲击一套透明玻璃架子鼓，每一次敲击的声效都与鼓内跳动的荧光涟漪完美同步。一个小型机器人宠物不小心撞到了一堆金属球，球体随之散开并以真实的惯性相互碰撞，伴随着清脆的金属撞击声。摄像机执行平滑的推近镜头，捕捉路边一名观众清晰的皮肤毛孔和衣服纹理，该观众正随着环境人声同步大笑。,,
runninghub,全能视频S-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766712.md,/openapi/v2/rhart-video-s-official/text-to-video,post,Video,"[""t2v""]",official_stable,parsed_html,size,string,True,"[""720x1280"", ""1280x720""]",720x1280,,
runninghub,全能视频S-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766712.md,/openapi/v2/rhart-video-s-official/text-to-video,post,Video,"[""t2v""]",official_stable,parsed_html,duration,string,True,"[""4"", ""8"", ""12""]",4,,
runninghub,全能视频X-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766714.md,/openapi/v2/rhart-video-g-official/text-to-video,post,Video,"[""t2v""]",official_stable,parsed_html,prompt,string,True,[],电影级广角跟拍镜头。在下着连绵细雨的赛博朋克城市街道上，镜头缓慢向前推进。地面上的水洼真实地倒映着上空闪烁的粉色和蓝色全息广告牌。两台流线型的飞行汽车在半空中快速交错穿梭，留下一道道光轨。一个穿着发光风衣的人影撑着透明雨伞走入画面，步伐自然平稳。整体氛围充满强烈的未来感与神秘的潮湿感。,,
runninghub,全能视频X-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766714.md,/openapi/v2/rhart-video-g-official/text-to-video,post,Video,"[""t2v""]",official_stable,parsed_html,aspectRatio,string,True,"[""16:9"", ""9:16"", ""1:1""]",16:9,,
runninghub,全能视频X-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766714.md,/openapi/v2/rhart-video-g-official/text-to-video,post,Video,"[""t2v""]",official_stable,parsed_html,resolution,string,True,"[""720p"", ""480p""]",720p,,resolution（仅15s支持1080p）
runninghub,全能视频X-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766714.md,/openapi/v2/rhart-video-g-official/text-to-video,post,Video,"[""t2v""]",official_stable,parsed_html,duration,string,True,"[""6"", ""10""]",6,,
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,/openapi/v2/rhart-video-v3.1-pro-official/text-to-video,post,Video,"[""t2v""]",official_stable,parsed_html,prompt,string,True,[],一只精力充沛的小狗在一块鲜艳的黄色冲浪板上冲浪，乘坐汹涌的蓝色波浪。快速动作，水花四溅，戏剧化的海洋喷雾，动态镜头从侧面跟随冲浪板，阳光明媚，天空晴朗，对比度高，极其细致的毛发物理效果，逼真的波浪模拟，电影般的慢动作时刻。,,
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,/openapi/v2/rhart-video-v3.1-pro-official/text-to-video,post,Video,"[""t2v""]",official_stable,parsed_html,aspectRatio,string,False,"[""16:9"", ""9:16""]",9:16,,
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,/openapi/v2/rhart-video-v3.1-pro-official/text-to-video,post,Video,"[""t2v""]",official_stable,parsed_html,duration,string,True,"[""4"", ""6"", ""8""]",8,,
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,/openapi/v2/rhart-video-v3.1-pro-official/text-to-video,post,Video,"[""t2v""]",official_stable,parsed_html,resolution,string,True,"[""720p"", ""1080p"", ""4k""]",720p,,
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,/openapi/v2/rhart-video-v3.1-pro-official/text-to-video,post,Video,"[""t2v""]",official_stable,parsed_html,generateAudio,boolean,True,[],false,,
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,/openapi/v2/rhart-video-v3.1-pro-official/text-to-video,post,Video,"[""t2v""]",official_stable,parsed_html,negativePrompt,string,False,[],,,
runninghub,全能视频V3.1-pro-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766716.md,/openapi/v2/rhart-video-v3.1-pro-official/text-to-video,post,Video,"[""t2v""]",official_stable,parsed_html,seed,integer,False,[],,,
runninghub,全能视频V3.1-fast-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766717.md,/openapi/v2/rhart-video-v3.1-fast-official/video-extend,post,Video,"[""t2v""]",official_stable,parsed_html,video,string,True,[],https://www.runninghub.cn/view?filename=66240b5f7887bc374c1770d0bf7ac1f51f3b518798513f1fb02b08f6ae0483b2.mp4&type=input&subfolder=&Rh-Comfy-Auth=eyJ1c2VySWQiOiIzZjY1MTNlNWEwNjY1N2I4OGYyNjU5NTEzYmU3ZDM0YyIsInNpZ25FeHBpcmUiOjE3NzE1Nzg3MzIyOTAsInRzIjoxNzcwOTczOTMyMjkwLCJzaWduIjoiODY1Zjc3NDg3ODkzYzk2NjA4MWE4NTM1OTYxYzg3MTUifQ==&Rh-Identify=3f6513e5a06657b88f2659513be7d34c&rand=0.08173910540910301,uri,支持的文件格式：MP4.
runninghub,全能视频V3.1-fast-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766717.md,/openapi/v2/rhart-video-v3.1-fast-official/video-extend,post,Video,"[""t2v""]",official_stable,parsed_html,prompt,string,False,[],,,
runninghub,全能视频V3.1-fast-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766717.md,/openapi/v2/rhart-video-v3.1-fast-official/video-extend,post,Video,"[""t2v""]",official_stable,parsed_html,resolution,string,True,"[""720p"", ""1080p""]",720p,,
runninghub,全能视频V3.1-fast-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766717.md,/openapi/v2/rhart-video-v3.1-fast-official/video-extend,post,Video,"[""t2v""]",official_stable,parsed_html,negativePrompt,string,False,[],,,
runninghub,全能视频V3.1-fast-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766717.md,/openapi/v2/rhart-video-v3.1-fast-official/video-extend,post,Video,"[""t2v""]",official_stable,parsed_html,seed,integer,False,[],,,
runninghub,全能视频V3.1-pro-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766718.md,/openapi/v2/rhart-video-v3.1-pro-official/video-extend,post,Video,"[""t2v""]",official_stable,parsed_html,video,string,True,[],https://www.runninghub.cn/view?filename=7fae6a6a5dfe4b7e3ddcb71a507d6ea51e9ef73edd38fc37e723c76407e1e460.mp4&type=input&subfolder=&Rh-Comfy-Auth=eyJ1c2VySWQiOiIzZjY1MTNlNWEwNjY1N2I4OGYyNjU5NTEzYmU3ZDM0YyIsInNpZ25FeHBpcmUiOjE3NzE1Nzc1MjgxNjgsInRzIjoxNzcwOTcyNzI4MTY4LCJzaWduIjoiOGYyZmQ4Yzk3Mzc4NmQ1NDdiMGZiZjY0NGY4NWJkZWIifQ==&Rh-Identify=3f6513e5a06657b88f2659513be7d34c&rand=0.030144780692362594,uri,支持的文件格式：MP4.
runninghub,全能视频V3.1-pro-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766718.md,/openapi/v2/rhart-video-v3.1-pro-official/video-extend,post,Video,"[""t2v""]",official_stable,parsed_html,prompt,string,False,[],,,
runninghub,全能视频V3.1-pro-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766718.md,/openapi/v2/rhart-video-v3.1-pro-official/video-extend,post,Video,"[""t2v""]",official_stable,parsed_html,resolution,string,True,"[""720p"", ""1080p""]",720p,,
runninghub,全能视频V3.1-pro-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766718.md,/openapi/v2/rhart-video-v3.1-pro-official/video-extend,post,Video,"[""t2v""]",official_stable,parsed_html,negativePrompt,string,False,[],,,
runninghub,全能视频V3.1-pro-视频扩展-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766718.md,/openapi/v2/rhart-video-v3.1-pro-official/video-extend,post,Video,"[""t2v""]",official_stable,parsed_html,seed,integer,False,[],,,
runninghub,全能视频V3.1-fast-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766720.md,/openapi/v2/rhart-video-v3.1-fast-official/text-to-video,post,Video,"[""t2v""]",official_stable,parsed_html,prompt,string,True,[],一位粗犷的探险家身处雪山洞穴中。他直视镜头，微微颤抖，说道：“我们找到了入口。” 光线昏暗，仅由一支闪烁的火把照亮。音频：洞外呼啸的风声，火把燃烧的噼啪声，以及他在洞穴中带有轻微回音的说话声。,,
runninghub,全能视频V3.1-fast-文生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766720.md,/openapi/v2/rhart-video-v3.1-fast-official/text-to-video,post,Video,"[""t2v""]",official_stable,parsed_html,aspectRatio,string,False,"[""16:9"", ""9:16""]",9:16,,
