"category","title","url","generation_mode_original","generation_mode_split","input_format","output_format","has_audio","model_guess","matched_system_api_id","matched_system_api_model","matched_system_api_name","matched_system_api_active","match_score","match_method","active_rule_count","total_rule_count","active_rule_modes","gm_covered_by_active_rules","resolution","aspect_ratio","mode","quality","source_sound","source_multi_shots"
"image","Qwen - Text to Image","https://docs.kie.ai/market/qwen/text-to-image.md","text-to-image","text-to-image","text","image","","qwen/text-to-image","269","qwen/text-to-image","Kie Qwen T2I (Canonical)","0","132","model_exact+category+output","1","1","","true","","","","","",""
"image","Recraft - Crisp Upscale","https://docs.kie.ai/market/recraft/crisp-upscale.md","video-to-video","video-to-video","video","video","false","recraft/crisp-upscale","271","recraft/crisp-upscale","Kie Recraft Crisp Upscale","0","120","model_exact+category","1","1","","true","","","","","",""
"image","Recraft - Remove Background","https://docs.kie.ai/market/recraft/remove-background.md","image-to-image","image-edit","image","image","","recraft/remove-background","272","recraft/remove-background","Kie Recraft Remove BG","0","132","model_exact+category+output","1","1","","true","","","","","",""
"image","Seedream3.0 - Text to Image","https://docs.kie.ai/market/seedream/seedream.md","text-to-image","text-to-image","text","image","","seedream/seedream","","","","","32","no_confident_match","0","0","","false","","","","","",""
"image","Seedream4.0 - Edit","https://docs.kie.ai/market/seedream/seedream-v4-edit.md","image-to-image","image-edit","image","image","","seedream/seedream-v4-edit","","","","","32","no_confident_match","0","0","","false","","","","","",""
"image","Seedream4.0 - Text to Image","https://docs.kie.ai/market/seedream/seedream-v4-text-to-image.md","text-to-image","text-to-image","text","image","","seedream/seedream-v4-text-to-image","","","","","32","no_confident_match","0","0","","false","","","","","",""
"image","Seedream4.5 - Edit","https://docs.kie.ai/market/seedream/4-5-edit.md","image-to-image","image-edit","image","image","","seedream/4.5-edit","273","seedream/4.5-edit","Kie Seedream 4.5 Edit","0","132","model_exact+category+output","1","1","","true","","1:1","","","",""
"image","Seedream4.5 - Text to Image","https://docs.kie.ai/market/seedream/4-5-text-to-image.md","text-to-image","text-to-image","text","image","","seedream/4.5-text-to-image","274","seedream/4.5-text-to-image","Kie Seedream 4.5","0","132","model_exact+category+output","1","1","","true","","1:1","","","",""
"image","Z-Image","https://docs.kie.ai/market/z-image/z-image.md","","","","image","","z-image/z-image","277","z-image","Kie Z-image","0","92","model_partial+category+output","1","1","","true","","1:1","","","",""
"video","AI Video Extension Callbacks","https://docs.kie.ai/runway-api/extend-ai-video-callbacks.md","video-to-video","video-to-video","video","video","false","","","","","","35","no_confident_match","0","0","","false","","","","","",""
"video","Bytedance - V1 Lite Image to Video","https://docs.kie.ai/market/bytedance/v1-lite-image-to-video.md","image-to-video","image-to-video","image","video","false","bytedance/v1-lite-image-to-video","299","bytedance/v1-lite-image-to-video","Kie Bytedance V1 Lite I2V (Canonical)","0","132","model_exact+category+output","0","0","","false","720p","","","","",""
"video","Bytedance - V1 Lite Text to Video","https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md","text-to-video","text-to-video","text","video","false","bytedance/v1-lite-text-to-video","300","bytedance/v1-lite-text-to-video","Kie Bytedance V1 Lite T2V (Canonical)","0","132","model_exact+category+output","0","0","","false","720p","16:9","","","",""
"video","Bytedance - V1 Pro Text to Video","https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md","text-to-video","text-to-video","text","video","false","bytedance/v1-pro-text-to-video","303","bytedance/v1-pro-text-to-video","Kie Bytedance V1 Pro T2V (Canonical)","0","132","model_exact+category+output","0","0","","false","720p","16:9","","","",""
"video","Bytedance Seedance 1.5 Pro","https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md","","","","video","false","bytedance/seedance-1-5-pro","","","","","35","no_confident_match","0","0","","false","720p","1:1","","","",""
"video","Bytedance V1 Pro Fast Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-fast-image-to-video.md","image-to-video","image-to-video","image","video","false","bytedance/v1-pro-fast-image-to-video","301","bytedance/v1-pro-fast-image-to-video","Kie Bytedance V1 Pro Fast I2V (Canonical)","0","132","model_exact+category+output","0","0","","false","720p","","","","",""
"video","Bytedance V1 Pro Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-image-to-video.md","image-to-video","image-to-video","image","video","false","bytedance/v1-pro-image-to-video","302","bytedance/v1-pro-image-to-video","Kie Bytedance V1 Pro I2V (Canonical)","0","132","model_exact+category+output","0","0","","false","720p","","","","",""
"video","Extend AI Video","https://docs.kie.ai/runway-api/extend-ai-video.md","video-to-video","video-to-video","video","video","false","","","","","","35","no_confident_match","0","0","","false","","","","","",""
"video","Generate AI Video","https://docs.kie.ai/runway-api/generate-ai-video.md","","","","video","false","","","","","","35","no_confident_match","0","0","","false","","","","","",""
"video","Generate Aleph Video","https://docs.kie.ai/runway-api/generate-aleph-video.md","video-to-video","video-to-video","video","video","false","","","","","","35","no_confident_match","0","0","","false","","","","","",""
"video","Grok Imagine - Video Upscale","https://docs.kie.ai/market/grok-imagine/upscale.md","video-to-video","video-to-video","video","video","false","grok-imagine/upscale","258","grok-imagine/upscale","Kie Grok Imagine Upscale (Canonical)","0","100","model_exact","2","2","upscale","true","","","","","",""
"video","Grok Imagine Image to Video","https://docs.kie.ai/market/grok-imagine/image-to-video.md","image-to-video","image-to-video","image","video","false","grok-imagine/image-to-video","305","grok-imagine/image-to-video","Kie Grok Imagine I2V (Canonical)","0","132","model_exact+category+output","7","7","image-to-video","true","480p","","","","",""
"video","Grok Imagine Text to Video","https://docs.kie.ai/market/grok-imagine/text-to-video.md","text-to-video","text-to-video","text","video","false","grok-imagine/text-to-video","306","grok-imagine/text-to-video","Kie Grok Imagine T2V (Canonical)","0","132","model_exact+category+output","6","6","text-to-video","true","480p","2:3","","","",""
"video","Hailuo 2.3 Pro Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-pro.md","image-to-video","image-to-video","image","video","false","hailuo/2-3-image-to-video-pro","312","hailuo/2-3-image-to-video-pro","Kie Hailuo 2.3 Pro I2V","0","132","model_exact+category+output","4","4","image-to-video","true","768P","","","","",""
"video","Hailuo 2.3 Standard Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-standard.md","image-to-video","image-to-video","image","video","false","hailuo/2-3-image-to-video-standard","313","hailuo/2-3-image-to-video-standard","Kie Hailuo 2.3 Standard I2V","0","132","model_exact+category+output","4","4","image-to-video","true","768P","","","","",""
"video","Hailuo Pro Image to Video","https://docs.kie.ai/market/hailuo/02-image-to-video-pro.md","image-to-video","image-to-video","image","video","false","hailuo/02-image-to-video-pro","308","hailuo/02-image-to-video-pro","Kie Hailuo Pro I2V (Canonical)","0","132","model_exact+category+output","0","0","","false","","","","","",""
"video","Hailuo Pro Text to Video","https://docs.kie.ai/market/hailuo/02-text-to-video-pro.md","text-to-video","text-to-video","text","video","false","hailuo/02-text-to-video-pro","310","hailuo/02-text-to-video-pro","Kie Hailuo Pro T2V (Canonical)","0","132","model_exact+category+output","0","0","","false","","","","","",""
"video","Hailuo Standard Image to Video","https://docs.kie.ai/market/hailuo/02-image-to-video-standard.md","image-to-video","image-to-video","image","video","false","hailuo/02-image-to-video-standard","309","hailuo/02-image-to-video-standard","Kie Hailuo Standard I2V (Canonical)","0","132","model_exact+category+output","0","0","","false","768P","","","","",""
"video","Hailuo Standard Text to Video","https://docs.kie.ai/market/hailuo/02-text-to-video-standard.md","text-to-video","text-to-video","text","video","false","hailuo/02-text-to-video-standard","311","hailuo/02-text-to-video-standard","Kie Hailuo Standard T2V (Canonical)","0","132","model_exact+category+output","0","0","","false","","","","","",""
"video","Kling - V2.5 Turbo Image to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-image-to-video-pro.md","image-to-video","image-to-video","image","video","false","kling/v2-5-turbo-image-to-video-pro","325","kling/v2-5-turbo-image-to-video-pro","Kie Kling 2.5 Turbo I2V Pro","1","135","model_exact+category+output+active","3","3","image-to-video","true","","","","","",""
"video","Kling - V2.5 Turbo Text to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-text-to-video-pro.md","text-to-video","text-to-video","text","video","false","kling/v2-5-turbo-text-to-video-pro","326","kling/v2-5-turbo-text-to-video-pro","Kie Kling 2.5 Turbo T2V Pro","1","135","model_exact+category+output+active","3","3","text-to-video","true","","16:9","","","",""
"video","Kling 2.6 Image to Video","https://docs.kie.ai/market/kling/image-to-video.md","image-to-video","image-to-video","image","video","false","kling-2.6/image-to-video","315","kling-2.6/image-to-video","Kie Kling 2.6 I2V","1","135","model_exact+category+output+active","9","9","image-to-video","true","","","","","false",""
"video","Kling 2.6 motion-control","https://docs.kie.ai/market/kling/motion-control.md","","","","video","false","kling-2.6/motion-control","316","kling-2.6/motion-control","Kie Kling 2.6 Motion Control","0","132","model_exact+category+output","0","0","","false","","","720p","","",""
"video","Kling 2.6 Text to Video","https://docs.kie.ai/market/kling/text-to-video.md","text-to-video","text-to-video","text","video","false","kling-2.6/text-to-video","317","kling-2.6/text-to-video","Kie Kling 2.6 T2V","1","135","model_exact+category+output+active","9","9","text-to-video","true","","1:1","","","false",""
"video","Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","","","","video","true","kling/kling-3-0","315","kling-2.6/image-to-video","Kie Kling 2.6 I2V","1","41","category+output+audio+active","9","9","image-to-video","true","","16:9","pro","","true","false, true"
"video","Kling AI Avatar Pro","https://docs.kie.ai/market/kling/ai-avatar-pro.md","","","","video","false","kling/ai-avatar-pro","","","","","35","no_confident_match","0","0","","false","","","","","",""
"video","Kling AI Avatar Standard","https://docs.kie.ai/market/kling/ai-avatar-standard.md","","","","video","false","kling/ai-avatar-standard","","","","","35","no_confident_match","0","0","","false","","","","","",""
"video","Kling V2.1 Master Image to Video","https://docs.kie.ai/market/kling/v2-1-master-image-to-video.md","image-to-video","image-to-video","image","video","false","kling/v2-1-master-image-to-video","321","kling/v2-1-master-image-to-video","Kie Kling V2.1 Master I2V","0","132","model_exact+category+output","0","0","","false","","","","","",""
"video","Kling V2.1 Master Text to Video","https://docs.kie.ai/market/kling/v2-1-master-text-to-video.md","text-to-video","text-to-video","text","video","false","kling/v2-1-master-text-to-video","322","kling/v2-1-master-text-to-video","Kie Kling V2.1 Master T2V","0","132","model_exact+category+output","0","0","","false","","16:9","","","",""
"video","Kling V2.1 Pro","https://docs.kie.ai/market/kling/v2-1-pro.md","","","","video","false","kling/v2-1-pro","323","kling/v2-1-pro","Kie Kling V2.1 Pro","0","132","model_exact+category+output","0","0","","false","","","","","",""
"video","Kling V2.1 Standard","https://docs.kie.ai/market/kling/v2-1-standard.md","","","","video","false","kling/v2-1-standard","324","kling/v2-1-standard","Kie Kling V2.1 Standard","0","132","model_exact+category+output","0","0","","false","","","","","",""
"video","Sora2 - Characters","https://docs.kie.ai/market/sora2/sora-2-characters.md","","","","video","false","sora2/sora-2-characters","329","sora-2-characters","Kie Sora2 Characters","0","92","model_partial+category+output","0","0","","false","","","","","",""
"video","Sora2 - Characters Pro","https://docs.kie.ai/market/sora2/sora-2-characters-pro.md","","","","video","false","sora2/sora-2-characters-pro","329","sora-2-characters","Kie Sora2 Characters","0","92","model_partial+category+output","0","0","","false","","","","","",""
"video","Sora2 - Image to Video","https://docs.kie.ai/market/sora2/sora-2-image-to-video.md","image-to-video","image-to-video","image","video","false","sora2/sora-2-image-to-video","331","sora-2-image-to-video","Kie Sora2 I2V (Canonical)","0","92","model_partial+category+output","3","3","image-to-video","true","","landscape","","","",""
"video","Sora2 - Pro Image to Video","https://docs.kie.ai/market/sora2/sora-2-pro-image-to-video.md","image-to-video","image-to-video","image","video","false","sora2/sora-2-pro-image-to-video","332","sora-2-pro-image-to-video","Kie Sora2 Pro I2V (Canonical)","0","92","model_partial+category+output","5","5","image-to-video","true","","landscape","","","",""
"video","Sora2 - Pro Storyboard","https://docs.kie.ai/market/sora-2-pro-storyboard.md","","","","video","false","sora-2-pro-storyboard","333","sora-2-pro-storyboard","Kie Sora2 Pro Storyboard","0","132","model_exact+category+output","3","3","storyboard","true","","landscape","","","",""
"video","Sora2 - Pro Text to Video","https://docs.kie.ai/market/sora2/sora-2-pro-text-to-video.md","text-to-video","text-to-video","text","video","false","sora2/sora-2-pro-text-to-video","334","sora-2-pro-text-to-video","Kie Sora2 Pro T2V (Canonical)","0","92","model_partial+category+output","3","3","text-to-video","true","","landscape","","","",""
"video","Sora2 - Text to Video","https://docs.kie.ai/market/sora2/sora-2-text-to-video.md","text-to-video","text-to-video","text","video","false","sora2/sora-2-text-to-video","335","sora-2-text-to-video","Kie Sora2 T2V (Canonical)","0","92","model_partial+category+output","4","4","text-to-video","true","","landscape","","","",""
"video","Sora2 - Watermark Remover","https://docs.kie.ai/market/sora2/sora-watermark-remover.md","","","","video","false","sora2/sora-watermark-remover","336","sora-watermark-remover","Kie Sora2 Watermark Remover","0","92","model_partial+category+output","1","1","","true","","","","","",""
"video","Topaz - Image Upscale","https://docs.kie.ai/market/topaz/image-upscale.md","video-to-video","video-to-video","video","video","false","topaz/image-upscale","276","topaz/image-upscale","Kie Topaz Image Upscale","0","100","model_exact","4","4","image-to-image","true","","","","","",""
"video","Topaz - Video Upscale","https://docs.kie.ai/market/topaz/video-upscale.md","video-to-video","video-to-video","video","video","false","topaz/video-upscale","338","topaz/video-upscale","Kie Topaz Video Upscale","0","132","model_exact+category+output","0","0","","false","","","","","",""
"video","Wan - 2.2 A14B Speech to Video Turbo","https://docs.kie.ai/market/wan/2-2-a14b-speech-to-video-turbo.md","","","","video","true","wan/2-2-a14b-speech-to-video-turbo","344","wan/2-2-a14b-speech-to-video-turbo","Kie Wan 2.2 A14B Speech2Video","0","138","model_exact+category+output+audio","0","0","","false","480p","","","","",""
"video","Wan - 2.6-flash-image-to-video","https://docs.kie.ai/market/wan/2-6-flash-image-to-video.md","image-to-video","image-to-video","image","video","false","wan/2-6-flash-image-to-video","348","wan/2-6-flash-image-to-video","Kie Wan 2.6 Flash I2V","0","132","model_exact+category+output","0","0","","false","1080p","","","","","false"
"video","Wan - 2-6-flash-video-to-video","https://docs.kie.ai/market/wan/2-6-flash-video-to-video.md","video-to-video","video-to-video","video","video","false","wan/2-6-flash-video-to-video","349","wan/2-6-flash-video-to-video","Kie Wan 2.6 Flash V2V","0","132","model_exact+category+output","0","0","","false","1080p","","","","","false"
"video","Wan - Animate Move","https://docs.kie.ai/market/wan/2-2-animate-move.md","","","","video","false","wan/2-2-animate-move","346","wan/2-2-animate-move","Kie Wan Animate Move","0","132","model_exact+category+output","0","0","","false","480p","","","","",""
"video","Wan - Animate Replace","https://docs.kie.ai/market/wan/2-2-animate-replace.md","","","","video","false","wan/2-2-animate-replace","347","wan/2-2-animate-replace","Kie Wan Animate Replace","0","132","model_exact+category+output","4","4","video-to-video","true","480p","","","","",""
"video","Wan - Image to Video","https://docs.kie.ai/market/wan/2-2-a14b-image-to-video-turbo.md","image-to-video","image-to-video","image","video","false","wan/2-2-a14b-image-to-video-turbo","343","wan/2-2-a14b-image-to-video-turbo","Kie Wan 2.2 A14B I2V Turbo","0","132","model_exact+category+output","4","4","image-to-video","true","720p","","","","",""
"video","Wan - Text to Video","https://docs.kie.ai/market/wan/2-2-a14b-text-to-video-turbo.md","text-to-video","text-to-video","text","video","false","wan/2-2-a14b-text-to-video-turbo","345","wan/2-2-a14b-text-to-video-turbo","Kie Wan 2.2 A14B T2V Turbo","0","132","model_exact+category+output","4","4","text-to-video","true","720p","16:9","","","",""
"video","Wan 2.6 - Image to Video","https://docs.kie.ai/market/wan/2-6-image-to-video.md","image-to-video","image-to-video","image","video","false","wan/2-6-image-to-video","350","wan/2-6-image-to-video","Kie Wan 2.6 I2V (Canonical)","0","132","model_exact+category+output","5","5","image-to-video","true","1080p","","","","",""
"video","Wan 2.6 - Text to Video","https://docs.kie.ai/market/wan/2-6-text-to-video.md","text-to-video","text-to-video","text","video","false","wan/2-6-text-to-video","351","wan/2-6-text-to-video","Kie Wan 2.6 T2V (Canonical)","0","132","model_exact+category+output","5","5","text-to-video","true","1080p","","","","",""
"video","Wan 2.6 - Video to Video","https://docs.kie.ai/market/wan/2-6-video-to-video.md","video-to-video","video-to-video","video","video","false","wan/2-6-video-to-video","352","wan/2-6-video-to-video","Kie Wan 2.6 V2V (Canonical)","0","132","model_exact+category+output","7","7","video-to-video","true","1080p","","","","",""
